Order ID,Date,Customer ID,Gender,Age,Product Category,Payment Method,City,Store Type,Quantity,Price per Unit,Total Amount,Delivery Status,High Value Order
559,01-01-23,CUST559,Female,40,Clothing,Credit Card,Miami,Department Store,4,300,1200,Pending,Yes
180,01-01-23,CUST180,Male,41,Clothing,Debit Card,San Francisco,Pharmacy,3,300,900,Pending,Yes
522,01-01-23,CUST522,Male,46,Beauty,Debit Card,San Francisco,Specialty Store,3,500,1500,Completed,Yes
979,02-01-23,CUST979,Female,19,Beauty,Mobile Payment,Boston,Convenience Store,1,25,25,Completed,No
163,02-01-23,CUST163,Female,64,Clothing,Mobile Payment,Chicago,Pharmacy,3,50,150,Pending,No
303,02-01-23,CUST303,Male,19,Electronics,Cash,Chicago,Pharmacy,3,30,90,Completed,No
421,02-01-23,CUST421,Female,37,Clothing,Mobile Payment,Houston,Convenience Store,3,500,1500,Pending,Yes
610,03-01-23,CUST610,Female,26,Beauty,Credit Card,Miami,Convenience Store,2,300,600,Completed,Yes
683,04-01-23,CUST683,Male,38,Beauty,Mobile Payment,Atlanta,Specialty Store,2,500,1000,Completed,Yes
231,04-01-23,CUST231,Female,23,Clothing,Debit Card,Dallas,Specialty Store,3,50,150,Pending,No
32,04-01-23,CUST032,Male,30,Beauty,Debit Card,Houston,Department Store,3,30,90,Completed,No
367,05-01-23,CUST367,Female,57,Electronics,Mobile Payment,Houston,Pharmacy,1,50,50,Completed,No
391,05-01-23,CUST391,Male,19,Beauty,Debit Card,New York,Convenience Store,2,25,50,Completed,No
432,05-01-23,CUST432,Female,60,Electronics,Cash,New York,Convenience Store,2,500,1000,Completed,Yes
150,06-01-23,CUST150,Female,58,Electronics,Debit Card,Houston,Warehouse Club,4,30,120,Completed,No
845,06-01-23,CUST845,Male,54,Clothing,Mobile Payment,New York,Supermarket,1,500,500,Pending,No
797,07-01-23,CUST797,Male,40,Clothing,Credit Card,Los Angeles,Warehouse Club,3,25,75,Pending,No
921,07-01-23,CUST921,Male,51,Electronics,Credit Card,Seattle,Pharmacy,3,25,75,Completed,No
291,08-01-23,CUST291,Male,60,Clothing,Mobile Payment,Atlanta,Pharmacy,2,300,600,Pending,Yes
907,08-01-23,CUST907,Female,45,Electronics,Mobile Payment,Seattle,Specialty Store,1,25,25,Completed,No
860,09-01-23,CUST860,Male,63,Clothing,Mobile Payment,Miami,Pharmacy,4,50,200,Pending,No
734,10-01-23,CUST734,Female,27,Clothing,Debit Card,Atlanta,Warehouse Club,1,30,30,Pending,No
184,10-01-23,CUST184,Male,31,Electronics,Debit Card,San Francisco,Department Store,4,50,200,Completed,No
225,11-01-23,CUST225,Female,57,Beauty,Credit Card,Atlanta,Supermarket,4,25,100,Completed,No
679,11-01-23,CUST679,Female,18,Beauty,Cash,Boston,Convenience Store,3,30,90,Completed,No
746,11-01-23,CUST746,Female,33,Clothing,Mobile Payment,Houston,Convenience Store,3,30,90,Pending,No
484,13-01-23,CUST484,Female,19,Clothing,Debit Card,Dallas,Pharmacy,4,300,1200,Pending,Yes
3,13-01-23,CUST003,Male,50,Electronics,Credit Card,Houston,Department Store,1,30,30,Completed,No
464,13-01-23,CUST464,Male,38,Electronics,Debit Card,Los Angeles,Convenience Store,2,300,600,Completed,Yes
591,13-01-23,CUST591,Male,53,Electronics,Debit Card,Seattle,Department Store,4,25,100,Completed,No
21,14-01-23,CUST021,Female,50,Beauty,Cash,Houston,Pharmacy,1,500,500,Completed,No
713,14-01-23,CUST713,Male,34,Beauty,Cash,Houston,Specialty Store,3,25,75,Completed,No
708,14-01-23,CUST708,Female,43,Beauty,Credit Card,Miami,Specialty Store,3,300,900,Completed,Yes
768,14-01-23,CUST768,Female,24,Beauty,Credit Card,San Francisco,Specialty Store,3,25,75,Completed,No
499,15-01-23,CUST499,Male,46,Beauty,Cash,Dallas,Specialty Store,2,30,60,Completed,No
697,15-01-23,CUST697,Male,53,Clothing,Credit Card,Miami,Department Store,1,500,500,Pending,No
831,15-01-23,CUST831,Male,27,Electronics,Mobile Payment,Seattle,Specialty Store,4,25,100,Completed,No
743,16-01-23,CUST743,Female,34,Beauty,Debit Card,Dallas,Supermarket,4,500,2000,Completed,Yes
15,16-01-23,CUST015,Female,42,Electronics,Credit Card,San Francisco,Warehouse Club,10,500,5000,Completed,Yes
986,17-01-23,CUST986,Female,49,Clothing,Cash,Dallas,Specialty Store,2,500,1000,Pending,Yes
103,17-01-23,CUST103,Female,59,Clothing,Credit Card,Los Angeles,Department Store,1,25,25,Pending,No
14,17-01-23,CUST014,Male,64,Clothing,Mobile Payment,Seattle,Warehouse Club,10,30,300,Pending,No
238,17-01-23,CUST238,Female,39,Beauty,Mobile Payment,Seattle,Supermarket,1,500,500,Completed,No
438,19-01-23,CUST438,Female,42,Clothing,Cash,Chicago,Pharmacy,1,30,30,Pending,No
475,20-01-23,CUST475,Male,26,Clothing,Debit Card,Miami,Convenience Store,3,25,75,Pending,No
505,20-01-23,CUST505,Male,24,Beauty,Mobile Payment,Miami,Supermarket,1,50,50,Completed,No
448,21-01-23,CUST448,Female,54,Beauty,Debit Card,Houston,Warehouse Club,2,30,60,Completed,No
344,21-01-23,CUST344,Female,42,Beauty,Cash,San Francisco,Department Store,1,30,30,Completed,No
742,21-01-23,CUST742,Female,38,Electronics,Credit Card,San Francisco,Pharmacy,4,500,2000,Completed,Yes
445,22-01-23,CUST445,Female,53,Electronics,Credit Card,Boston,Supermarket,1,300,300,Completed,No
787,22-01-23,CUST787,Male,41,Electronics,Cash,Chicago,Supermarket,1,25,25,Completed,No
420,23-01-23,CUST420,Female,22,Clothing,Credit Card,Houston,Specialty Store,4,500,2000,Pending,Yes
519,23-01-23,CUST519,Female,36,Electronics,Debit Card,New York,Pharmacy,4,30,120,Completed,No
49,23-01-23,CUST049,Female,54,Electronics,Credit Card,Seattle,Department Store,2,500,1000,Completed,Yes
592,24-01-23,CUST592,Female,46,Beauty,Debit Card,Dallas,Department Store,4,500,2000,Completed,Yes
64,24-01-23,CUST064,Male,49,Clothing,Mobile Payment,Houston,Department Store,4,25,100,Pending,No
912,24-01-23,CUST912,Male,51,Beauty,Debit Card,Houston,Pharmacy,3,50,150,Completed,No
134,25-01-23,CUST134,Male,49,Electronics,Debit Card,Boston,Department Store,1,50,50,Completed,No
288,26-01-23,CUST288,Male,28,Clothing,Mobile Payment,Boston,Department Store,4,30,120,Pending,No
720,26-01-23,CUST720,Female,56,Beauty,Cash,Chicago,Convenience Store,3,500,1500,Completed,Yes
323,26-01-23,CUST323,Female,29,Beauty,Credit Card,San Francisco,Pharmacy,3,300,900,Completed,Yes
618,26-01-23,CUST618,Female,27,Beauty,Debit Card,San Francisco,Supermarket,1,50,50,Completed,No
736,27-01-23,CUST736,Male,29,Clothing,Debit Card,Houston,Convenience Store,4,25,100,Pending,No
929,27-01-23,CUST929,Female,23,Beauty,Mobile Payment,Miami,Specialty Store,3,25,75,Completed,No
415,27-01-23,CUST415,Male,53,Clothing,Credit Card,Seattle,Department Store,2,30,60,Pending,No
913,28-01-23,CUST913,Male,29,Electronics,Credit Card,Atlanta,Convenience Store,3,30,90,Completed,No
940,28-01-23,CUST940,Female,20,Electronics,Cash,Los Angeles,Specialty Store,1,30,30,Completed,No
264,28-01-23,CUST264,Male,47,Clothing,Credit Card,New York,Department Store,3,300,900,Pending,Yes
101,29-01-23,CUST101,Male,32,Clothing,Mobile Payment,Houston,Warehouse Club,2,300,600,Pending,Yes
329,30-01-23,CUST329,Female,46,Electronics,Debit Card,Chicago,Department Store,4,25,100,Completed,No
322,30-01-23,CUST322,Male,51,Electronics,Cash,Houston,Convenience Store,1,500,500,Completed,No
189,30-01-23,CUST189,Male,63,Beauty,Mobile Payment,Los Angeles,Department Store,1,50,50,Completed,No
317,30-01-23,CUST317,Male,22,Electronics,Credit Card,Seattle,Supermarket,3,30,90,Completed,No
300,31-01-23,CUST300,Female,19,Electronics,Credit Card,Atlanta,Pharmacy,4,50,200,Completed,No
235,31-01-23,CUST235,Female,23,Electronics,Credit Card,Houston,Convenience Store,2,500,1000,Completed,Yes
964,31-01-23,CUST964,Male,24,Clothing,Credit Card,San Francisco,Department Store,3,300,900,Pending,Yes
269,01-02-23,CUST269,Male,25,Clothing,Mobile Payment,Atlanta,Supermarket,4,500,2000,Pending,Yes
320,01-02-23,CUST320,Female,28,Electronics,Debit Card,Boston,Convenience Store,4,300,1200,Completed,Yes
673,01-02-23,CUST673,Female,43,Clothing,Mobile Payment,San Francisco,Warehouse Club,3,500,1500,Pending,Yes
142,02-02-23,CUST142,Male,35,Electronics,Credit Card,Miami,Warehouse Club,4,300,1200,Completed,Yes
666,02-02-23,CUST666,Male,51,Electronics,Mobile Payment,Miami,Specialty Store,3,50,150,Completed,No
223,02-02-23,CUST223,Female,64,Clothing,Cash,San Francisco,Specialty Store,1,25,25,Pending,No
107,03-02-23,CUST107,Female,21,Clothing,Mobile Payment,Dallas,Pharmacy,8,300,2400,Pending,Yes
933,03-02-23,CUST933,Male,22,Beauty,Cash,Los Angeles,Pharmacy,1,30,30,Completed,No
237,04-02-23,CUST237,Female,50,Beauty,Mobile Payment,Miami,Pharmacy,2,500,1000,Completed,Yes
335,04-02-23,CUST335,Female,47,Beauty,Mobile Payment,Seattle,Specialty Store,4,30,120,Completed,No
379,05-02-23,CUST379,Female,47,Clothing,Credit Card,Atlanta,Convenience Store,1,25,25,Pending,No
793,05-02-23,CUST793,Male,54,Beauty,Credit Card,Boston,Warehouse Club,1,30,30,Completed,No
63,05-02-23,CUST063,Male,57,Electronics,Cash,Chicago,Specialty Store,2,25,50,Completed,No
333,05-02-23,CUST333,Female,54,Electronics,Mobile Payment,Dallas,Pharmacy,4,300,1200,Completed,Yes
